########################################################################################################################################################
### RUN: lowpass_qdd=False  K=32 test_fraction=0.2 seed=0                                                                                            ###
### npz_in=/workspace/shared/data/preprocessed/delan_UR3_Load0_cc_K32_tf0p2_vf0p1_seed0_dataset/delan_UR3_Load0_cc_K32_tf0p2_vf0p1_seed0_dataset.npz ###
########################################################################################################################################################

#####################
### 1) PREPROCESS ###
#####################

======================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================
=== docker compose -p payload_estimation --project-directory /home/robat/.localgit/algorithmic_payload_estimation/payload_estimation --env-file /home/robat/.localgit/algorithmic_payload_estimation/payload_estimation/.env -f /home/robat/.localgit/algorithmic_payload_estimation/payload_estimation/docker-compose.yml exec -T preprocess bash -lc 'python3 scripts/build_delan_dataset.py --derive_qdd_from_qd True --col_format wide --trajectory_amount 32 --test_fraction 0.2 --val_fraction 0.1 --seed 0 --lowpass_signals True --lowpass_cutoff_hz 10.0 --lowpass_order 4 --lowpass_qdd False --raw_csv /workspace/shared/data/raw/UR3_Load0_cc.csv --out_npz /workspace/shared/data/preprocessed/delan_UR3_Load0_cc_K32_tf0p2_vf0p1_seed0_dataset/delan_UR3_Load0_cc_K32_tf0p2_vf0p1_seed0_dataset.npz' ===
======================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================
Saved: /workspace/shared/data/preprocessed/delan_UR3_Load0_cc_K32_tf0p2_vf0p1_seed0_dataset/delan_UR3_Load0_cc_K32_tf0p2_vf0p1_seed0_dataset.npz
Saved: /workspace/shared/data/preprocessed/delan_UR3_Load0_cc_K32_tf0p2_vf0p1_seed0_dataset/delan_UR3_Load0_cc_K32_tf0p2_vf0p1_seed0_dataset.json
Trajectories: train=23 val=3 test=6
Exists: True

#######################################################################################################################################################################################################################################################
### DELAN VARIANT: delan_seed=0                                                                                                                                                                                                                     ###
### ckpt=/workspace/shared/models/delan/UR3_Load0_cc__sweep1__K32__seed0__delan_jax_struct_s0_ep200_actsoftplus_b1024_lr1e-4_wd1e-5_w256_d2/UR3_Load0_cc__sweep1__K32__seed0__delan_jax_struct_s0_ep200_actsoftplus_b1024_lr1e-4_wd1e-5_w256_d2.jax ###
#######################################################################################################################################################################################################################################################

######################
### 2) DELAN TRAIN ###
######################

==========================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================
=== docker compose -p payload_estimation --project-directory /home/robat/.localgit/algorithmic_payload_estimation/payload_estimation --env-file /home/robat/.localgit/algorithmic_payload_estimation/payload_estimation/.env -f /home/robat/.localgit/algorithmic_payload_estimation/payload_estimation/docker-compose.yml exec -T delan_jax bash -lc 'python3 /workspace/delan_jax/scripts/rbyt_train_delan_jax.py --npz /workspace/shared/data/preprocessed/delan_UR3_Load0_cc_K32_tf0p2_vf0p1_seed0_dataset/delan_UR3_Load0_cc_K32_tf0p2_vf0p1_seed0_dataset.npz -t structured -s 0 -r 0 --hp_preset lutter_like_256 --epochs 200 --eval_every 1 --log_every 1 --early_stop --early_stop_patience 10 --early_stop_min_delta 0.0 --early_stop_warmup_evals 0 --save_path /workspace/shared/models/delan/UR3_Load0_cc__sweep1__K32__seed0__delan_jax_struct_s0_ep200_actsoftplus_b1024_lr1e-4_wd1e-5_w256_d2/UR3_Load0_cc__sweep1__K32__seed0__delan_jax_struct_s0_ep200_actsoftplus_b1024_lr1e-4_wd1e-5_w256_d2.jax' ===
==========================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================
Final hyper: {'dataset': 'UR3_Load0_cc__sweep1__K32__seed0__delan_jax_struct_s0_ep200_actsoftplus_b1024_lr1e-4_wd1e-5_w256_d2', 'n_width': 256, 'n_depth': 2, 'n_minibatch': 1024, 'diagonal_epsilon': 0.1, 'diagonal_shift': 2.0, 'activation': 'softplus', 'learning_rate': 0.0001, 'weight_decay': 1e-05, 'max_epoch': 200, 'lagrangian_type': <function structured_lagrangian_fn at 0x7301c2f38dc0>}


################################################
DeLaN run: UR3_Load0_cc__sweep1__K32__seed0__delan_jax_struct_s0_ep200_actsoftplus_b1024_lr1e-4_wd1e-5_w256_d2
  model_dir = /workspace/shared/models/delan/UR3_Load0_cc__sweep1__K32__seed0__delan_jax_struct_s0_ep200_actsoftplus_b1024_lr1e-4_wd1e-5_w256_d2
  ckpt_path = /workspace/shared/models/delan/UR3_Load0_cc__sweep1__K32__seed0__delan_jax_struct_s0_ep200_actsoftplus_b1024_lr1e-4_wd1e-5_w256_d2/UR3_Load0_cc__sweep1__K32__seed0__delan_jax_struct_s0_ep200_actsoftplus_b1024_lr1e-4_wd1e-5_w256_d2.jax
  type = structured
  hp_preset = lutter_like_256
################################################


################################################
Dataset: delan_UR3_Load0_cc_K32_tf0p2_vf0p1_seed0_dataset.npz
  npz = /workspace/shared/data/preprocessed/delan_UR3_Load0_cc_K32_tf0p2_vf0p1_seed0_dataset/delan_UR3_Load0_cc_K32_tf0p2_vf0p1_seed0_dataset.npz
   dt ≈ 0.018681430545724284
  dof = 6
  Train trajectories = 23
  Val trajectories   = 3
  Test trajectories  = 6
  Train samples = 22199
  Test samples  = 6000
################################################

2026-01-26 01:16:13.119420: W external/xla/xla/service/gpu/autotuning/dot_search_space.cc:200] All configs were filtered out because none of them sufficiently match the hints. Maybe the hints set does not contain a good representative set of valid configs?Working around this by using the full hints set instead.
2026-01-26 01:16:15.003367: W external/xla/xla/service/gpu/autotuning/dot_search_space.cc:200] All configs were filtered out because none of them sufficiently match the hints. Maybe the hints set does not contain a good representative set of valid configs?Working around this by using the full hints set instead.
################################################
Training DeLaN | run=UR3_Load0_cc__sweep1__K32__seed0__delan_jax_struct_s0_ep200_actsoftplus_b1024_lr1e-4_wd1e-5_w256_d2 | type=structured | dof=6
################################################
Epoch 00001: Time=   4.1s, Loss=2.25e+04, Inv=2.25e+04, For=5.91e+00, Power=3.05e+03
  [eval] val_mse=1.164e+03  (n=1500)
Epoch 00002: Time=   5.5s, Loss=2.25e+03, Inv=2.25e+03, For=5.67e+00, Power=3.20e+02
  [eval] val_mse=4.310e+02  (n=1500)
Epoch 00003: Time=   5.5s, Loss=8.79e+02, Inv=8.79e+02, For=5.51e+00, Power=1.12e+02
  [eval] val_mse=2.739e+02  (n=1500)
Epoch 00004: Time=   5.6s, Loss=4.82e+02, Inv=4.82e+02, For=5.37e+00, Power=6.76e+01
  [eval] val_mse=2.060e+02  (n=1500)
Epoch 00005: Time=   5.6s, Loss=3.20e+02, Inv=3.20e+02, For=5.26e+00, Power=4.67e+01
  [eval] val_mse=1.673e+02  (n=1500)
Epoch 00006: Time=   5.6s, Loss=2.34e+02, Inv=2.34e+02, For=5.18e+00, Power=3.51e+01
  [eval] val_mse=1.411e+02  (n=1500)
Epoch 00007: Time=   5.6s, Loss=1.81e+02, Inv=1.81e+02, For=5.11e+00, Power=2.67e+01
  [eval] val_mse=1.218e+02  (n=1500)
Epoch 00008: Time=   5.7s, Loss=1.44e+02, Inv=1.44e+02, For=5.05e+00, Power=2.12e+01
  [eval] val_mse=1.067e+02  (n=1500)
Epoch 00009: Time=   5.7s, Loss=1.18e+02, Inv=1.18e+02, For=5.02e+00, Power=1.73e+01
  [eval] val_mse=9.420e+01  (n=1500)
Epoch 00010: Time=   5.7s, Loss=9.89e+01, Inv=9.89e+01, For=4.98e+00, Power=1.45e+01
  [eval] val_mse=8.384e+01  (n=1500)
Epoch 00011: Time=   5.7s, Loss=8.45e+01, Inv=8.45e+01, For=4.96e+00, Power=1.22e+01
  [eval] val_mse=7.503e+01  (n=1500)
Epoch 00012: Time=   5.7s, Loss=7.30e+01, Inv=7.30e+01, For=4.94e+00, Power=1.05e+01
  [eval] val_mse=6.731e+01  (n=1500)
Epoch 00013: Time=   5.8s, Loss=6.39e+01, Inv=6.39e+01, For=4.95e+00, Power=9.17e+00
  [eval] val_mse=6.064e+01  (n=1500)
Epoch 00014: Time=   5.8s, Loss=5.62e+01, Inv=5.62e+01, For=4.93e+00, Power=8.06e+00
  [eval] val_mse=5.485e+01  (n=1500)
Epoch 00015: Time=   5.8s, Loss=5.02e+01, Inv=5.02e+01, For=4.96e+00, Power=7.19e+00
  [eval] val_mse=4.975e+01  (n=1500)
Epoch 00016: Time=   5.8s, Loss=4.49e+01, Inv=4.49e+01, For=4.96e+00, Power=6.45e+00
  [eval] val_mse=4.519e+01  (n=1500)
Epoch 00017: Time=   5.8s, Loss=4.07e+01, Inv=4.07e+01, For=4.97e+00, Power=5.84e+00
  [eval] val_mse=4.119e+01  (n=1500)
Epoch 00018: Time=   5.9s, Loss=3.69e+01, Inv=3.69e+01, For=4.99e+00, Power=5.29e+00
  [eval] val_mse=3.770e+01  (n=1500)
Epoch 00019: Time=   5.9s, Loss=3.38e+01, Inv=3.38e+01, For=5.05e+00, Power=4.89e+00
  [eval] val_mse=3.453e+01  (n=1500)
Epoch 00020: Time=   5.9s, Loss=3.11e+01, Inv=3.11e+01, For=5.08e+00, Power=4.54e+00
  [eval] val_mse=3.171e+01  (n=1500)
Epoch 00021: Time=   5.9s, Loss=2.86e+01, Inv=2.86e+01, For=5.10e+00, Power=4.17e+00
  [eval] val_mse=2.918e+01  (n=1500)
Epoch 00022: Time=   6.0s, Loss=2.65e+01, Inv=2.65e+01, For=5.17e+00, Power=3.92e+00
  [eval] val_mse=2.690e+01  (n=1500)
Epoch 00023: Time=   6.0s, Loss=2.45e+01, Inv=2.45e+01, For=5.18e+00, Power=3.66e+00
  [eval] val_mse=2.484e+01  (n=1500)
Epoch 00024: Time=   6.0s, Loss=2.30e+01, Inv=2.30e+01, For=5.24e+00, Power=3.45e+00
  [eval] val_mse=2.305e+01  (n=1500)
Epoch 00025: Time=   6.0s, Loss=2.15e+01, Inv=2.15e+01, For=5.29e+00, Power=3.24e+00
  [eval] val_mse=2.138e+01  (n=1500)
Epoch 00026: Time=   6.0s, Loss=2.02e+01, Inv=2.02e+01, For=5.35e+00, Power=3.09e+00
  [eval] val_mse=1.990e+01  (n=1500)
Epoch 00027: Time=   6.1s, Loss=1.90e+01, Inv=1.90e+01, For=5.42e+00, Power=2.94e+00
  [eval] val_mse=1.852e+01  (n=1500)
