[2026-01-30 16:44:30] kBestModel^2 started ts=20260130_164430
[2026-01-30 16:44:30] START best_delan (5x10^4_under): /home/robat/.venv/ape_sweep/bin/python3 /home/robat/.localgit/algorithmic_payload_estimation/payload_estimation/services/sweep/scripts/run_sweep_delan.py
docker compose -p payload_estimation --project-directory /home/robat/.localgit/algorithmic_payload_estimation/payload_estimation --env-file /home/robat/.localgit/algorithmic_payload_estimation/payload_estimation/.env -f /home/robat/.localgit/algorithmic_payload_estimation/payload_estimation/docker-compose.yml exec -T preprocess bash -lc 'python3 scripts/build_delan_dataset.py --derive_qdd_from_qd True --col_format wide --trajectory_amount 84 --test_fraction 0.2 --val_fraction 0.1 --seed 0 --lowpass_signals True --lowpass_cutoff_hz 10.0 --lowpass_order 4 --lowpass_qdd False --raw_csv /workspace/shared/data/raw/UR3_Load0_5x10^4_under.csv --out_npz /workspace/shared/data/preprocessed/delan_UR3_Load0_5x10^4_under_K84_seed0_dataset/delan_UR3_Load0_5x10^4_under_K84_seed0_dataset.npz'
Saved: /workspace/shared/data/preprocessed/delan_UR3_Load0_5x10^4_under_K84_seed0_dataset/delan_UR3_Load0_5x10^4_under_K84_seed0_dataset.npz
Saved: /workspace/shared/data/preprocessed/delan_UR3_Load0_5x10^4_under_K84_seed0_dataset/delan_UR3_Load0_5x10^4_under_K84_seed0_dataset.json
Trajectories: train=19 val=3 test=5
Exists: True

docker compose -p payload_estimation --project-directory /home/robat/.localgit/algorithmic_payload_estimation/payload_estimation --env-file /home/robat/.localgit/algorithmic_payload_estimation/payload_estimation/.env -f /home/robat/.localgit/algorithmic_payload_estimation/payload_estimation/docker-compose.yml exec -T delan_jax bash -lc 'python3 /workspace/delan_jax/scripts/rbyt_train_delan_jax.py --npz /workspace/shared/data/preprocessed/delan_UR3_Load0_5x10^4_under_K84_seed0_dataset/delan_UR3_Load0_5x10^4_under_K84_seed0_dataset.npz -t structured -s 0 -r 0 --hp_preset lutter_like_128 --epochs 200 --eval_every 1 --log_every 1 --early_stop True --early_stop_patience 10 --early_stop_min_delta 0.0 --early_stop_warmup_evals 0 --save_path /workspace/shared/models/delan/UR3_Load0_5x10^4_under__best5x10L0__K84__seed0__delan_jax_struct_s0_ep200_hp_lutter_like_128_actsoftplus_b1024_lr1e-4_wd1e-5_w128_d2/UR3_Load0_5x10^4_under__best5x10L0__K84__seed0__delan_jax_struct_s0_ep200_hp_lutter_like_128_actsoftplus_b1024_lr1e-4_wd1e-5_w128_d2.jax'
mkdir -p failed for path /.config/matplotlib: [Errno 13] Permission denied: '/.config'
Matplotlib created a temporary cache directory at /tmp/matplotlib-e6tk9u_n because there was an issue with the default path (/.config/matplotlib); it is highly recommended to set the MPLCONFIGDIR environment variable to a writable directory, in particular to speed up the import of Matplotlib and to better support multiprocessing.
Final hyper: {'dataset': 'UR3_Load0_5x10^4_under__best5x10L0__K84__seed0__delan_jax_struct_s0_ep200_hp_lutter_like_128_actsoftplus_b1024_lr1e-4_wd1e-5_w128_d2', 'n_width': 128, 'n_depth': 2, 'n_minibatch': 1024, 'diagonal_epsilon': 0.1, 'diagonal_shift': 2.0, 'activation': 'softplus', 'learning_rate': 0.0001, 'weight_decay': 1e-05, 'max_epoch': 200, 'lagrangian_type': <function structured_lagrangian_fn at 0x75f82019e8c0>}


################################################
DeLaN run: UR3_Load0_5x10^4_under__best5x10L0__K84__seed0__delan_jax_struct_s0_ep200_hp_lutter_like_128_actsoftplus_b1024_lr1e-4_wd1e-5_w128_d2
  model_dir = /workspace/shared/models/delan/UR3_Load0_5x10^4_under__best5x10L0__K84__seed0__delan_jax_struct_s0_ep200_hp_lutter_like_128_actsoftplus_b1024_lr1e-4_wd1e-5_w128_d2
  ckpt_path = /workspace/shared/models/delan/UR3_Load0_5x10^4_under__best5x10L0__K84__seed0__delan_jax_struct_s0_ep200_hp_lutter_like_128_actsoftplus_b1024_lr1e-4_wd1e-5_w128_d2/UR3_Load0_5x10^4_under__best5x10L0__K84__seed0__delan_jax_struct_s0_ep200_hp_lutter_like_128_actsoftplus_b1024_lr1e-4_wd1e-5_w128_d2.jax
  type = structured
  hp_preset = lutter_like_128
################################################


################################################
Dataset: delan_UR3_Load0_5x10^4_under_K84_seed0_dataset.npz
  npz = /workspace/shared/data/preprocessed/delan_UR3_Load0_5x10^4_under_K84_seed0_dataset/delan_UR3_Load0_5x10^4_under_K84_seed0_dataset.npz
   dt ≈ 0.013911611423806564
  dof = 6
  Train trajectories = 19
  Val trajectories   = 3
  Test trajectories  = 5
  Train samples = 35497
  Test samples  = 5500
################################################

2026-01-30 15:44:35.089012: W external/xla/xla/service/gpu/autotuning/dot_search_space.cc:200] All configs were filtered out because none of them sufficiently match the hints. Maybe the hints set does not contain a good representative set of valid configs?Working around this by using the full hints set instead.
2026-01-30 15:44:36.738474: W external/xla/xla/service/gpu/autotuning/dot_search_space.cc:200] All configs were filtered out because none of them sufficiently match the hints. Maybe the hints set does not contain a good representative set of valid configs?Working around this by using the full hints set instead.
################################################
Training DeLaN | run=UR3_Load0_5x10^4_under__best5x10L0__K84__seed0__delan_jax_struct_s0_ep200_hp_lutter_like_128_actsoftplus_b1024_lr1e-4_wd1e-5_w128_d2 | type=structured | dof=6
################################################
Epoch 00001: Time=   2.9s, Loss=8.81e+03, Inv=8.81e+03, For=6.08e+00, Power=7.39e+02
  [eval] val_mse=2.183e+02  (n=7000)
Epoch 00002: Time=   4.5s, Loss=1.35e+03, Inv=1.35e+03, For=5.76e+00, Power=1.91e+02
  [eval] val_mse=1.132e+02  (n=7000)
Epoch 00003: Time=   4.6s, Loss=5.60e+02, Inv=5.60e+02, For=5.61e+00, Power=1.10e+02
  [eval] val_mse=8.204e+01  (n=7000)
Epoch 00004: Time=   4.6s, Loss=3.27e+02, Inv=3.27e+02, For=5.56e+00, Power=7.59e+01
  [eval] val_mse=6.378e+01  (n=7000)
Epoch 00005: Time=   4.6s, Loss=2.23e+02, Inv=2.23e+02, For=5.52e+00, Power=5.48e+01
  [eval] val_mse=5.084e+01  (n=7000)
Epoch 00006: Time=   4.7s, Loss=1.63e+02, Inv=1.63e+02, For=5.46e+00, Power=4.07e+01
  [eval] val_mse=4.155e+01  (n=7000)
Epoch 00007: Time=   4.7s, Loss=1.26e+02, Inv=1.26e+02, For=5.38e+00, Power=3.06e+01
  [eval] val_mse=3.457e+01  (n=7000)
Epoch 00008: Time=   4.7s, Loss=1.01e+02, Inv=1.01e+02, For=5.34e+00, Power=2.39e+01
  [eval] val_mse=2.928e+01  (n=7000)
Epoch 00009: Time=   4.8s, Loss=8.34e+01, Inv=8.34e+01, For=5.34e+00, Power=1.93e+01
  [eval] val_mse=2.501e+01  (n=7000)
Epoch 00010: Time=   4.8s, Loss=6.99e+01, Inv=6.99e+01, For=5.31e+00, Power=1.56e+01
  [eval] val_mse=2.165e+01  (n=7000)
Epoch 00011: Time=   4.8s, Loss=5.97e+01, Inv=5.97e+01, For=5.30e+00, Power=1.30e+01
  [eval] val_mse=1.887e+01  (n=7000)
Epoch 00012: Time=   4.8s, Loss=5.15e+01, Inv=5.15e+01, For=5.28e+00, Power=1.09e+01
  [eval] val_mse=1.658e+01  (n=7000)
Epoch 00013: Time=   4.9s, Loss=4.51e+01, Inv=4.51e+01, For=5.29e+00, Power=9.30e+00
  [eval] val_mse=1.468e+01  (n=7000)
Epoch 00014: Time=   4.9s, Loss=3.98e+01, Inv=3.98e+01, For=5.28e+00, Power=8.01e+00
  [eval] val_mse=1.308e+01  (n=7000)
Epoch 00015: Time=   4.9s, Loss=3.55e+01, Inv=3.55e+01, For=5.31e+00, Power=6.98e+00
  [eval] val_mse=1.173e+01  (n=7000)
Epoch 00016: Time=   5.0s, Loss=3.21e+01, Inv=3.21e+01, For=5.35e+00, Power=6.17e+00
  [eval] val_mse=1.055e+01  (n=7000)
Epoch 00017: Time=   5.0s, Loss=2.90e+01, Inv=2.90e+01, For=5.38e+00, Power=5.44e+00
  [eval] val_mse=9.551e+00  (n=7000)
Epoch 00018: Time=   5.0s, Loss=2.64e+01, Inv=2.64e+01, For=5.42e+00, Power=4.85e+00
  [eval] val_mse=8.694e+00  (n=7000)
Epoch 00019: Time=   5.0s, Loss=2.41e+01, Inv=2.41e+01, For=5.49e+00, Power=4.37e+00
  [eval] val_mse=7.948e+00  (n=7000)
Epoch 00020: Time=   5.1s, Loss=2.22e+01, Inv=2.22e+01, For=5.55e+00, Power=3.97e+00
  [eval] val_mse=7.286e+00  (n=7000)
Epoch 00021: Time=   5.1s, Loss=2.05e+01, Inv=2.05e+01, For=5.62e+00, Power=3.63e+00
  [eval] val_mse=6.720e+00  (n=7000)
Epoch 00022: Time=   5.1s, Loss=1.90e+01, Inv=1.90e+01, For=5.68e+00, Power=3.32e+00
  [eval] val_mse=6.216e+00  (n=7000)
Epoch 00023: Time=   5.2s, Loss=1.77e+01, Inv=1.77e+01, For=5.80e+00, Power=3.05e+00
  [eval] val_mse=5.777e+00  (n=7000)
